"method","rates","atoll","site","depth","transect","coralg","lower.ci","upper.ci"
"CoralNet","indo_v1_w_bio","EG","Tattamucca","10m","T1",3.6933,2.9878,4.4492
"CoralNet","indo_v1_w_bio","EG","Tattamucca","10m","T2",4.1012,3.1738,5.1213
"CoralNet","indo_v1_w_bio","EG","Tattamucca","10m","T3",6.7104,4.9077,8.6582
"CoralNet","indo_v1_w_bio","GCB","MidBroCh","10m","T1",1.3301,1.0821,1.6699
"CoralNet","indo_v1_w_bio","GCB","MidBroCh","10m","T2",0.9646,0.6926,1.2596
"CoralNet","indo_v1_w_bio","GCB","MidBroCh","10m","T3",0.7707,0.6372,0.9189
"CoralNet","indo_v1_w_bio","GCB","MidBroDr","10m","T1",2.5572,2.2228,2.9267
"CoralNet","indo_v1_w_bio","GCB","MidBroDr","10m","T2",0.6361,0.5261,0.7698
"CoralNet","indo_v1_w_bio","GCB","MidBroDr","10m","T3",2.4025,2.098,2.7519
"CoralNet","indo_v1_w_bio","GCB","NorthBro","10m","T1",0.5248,0.4336,0.658
"CoralNet","indo_v1_w_bio","GCB","NorthBro","10m","T2",0.768,0.6289,0.9181
"CoralNet","indo_v1_w_bio","GCB","NorthBro","10m","T3",1.3471,1.1611,1.554
"CoralNet","indo_v1_w_bio","GCB","SouthBro","10m","T1",2.3826,2.0275,2.7873
"CoralNet","indo_v1_w_bio","GCB","SouthBro","10m","T2",3.2074,2.827,3.6266
"CoralNet","indo_v1_w_bio","GCB","SouthBro","10m","T3",4.1022,3.5291,4.7223
"CoralNet","indo_v1_w_bio","PB","Diamant","10m","T1",5.3588,4.5751,6.2592
"CoralNet","indo_v1_w_bio","PB","Diamant","10m","T2",3.4495,3.0125,3.9446
"CoralNet","indo_v1_w_bio","PB","Diamant","10m","T3",7.0292,5.4602,8.7809
"CoralNet","indo_v1_w_bio","PB","Poule","10m","T1",2.699,2.2751,3.199
"CoralNet","indo_v1_w_bio","PB","Poule","10m","T2",2.7639,2.3288,3.2762
"CoralNet","indo_v1_w_bio","PB","Poule","10m","T3",4.8976,4.2435,5.6277
"CoralNet","indo_v1_w_bio","PB","PtiCoq","10m","T1",3.03,2.673,3.4198
"CoralNet","indo_v1_w_bio","PB","PtiCoq","10m","T2",2.9731,2.4133,3.6385
"CoralNet","indo_v1_w_bio","PB","PtiCoq","10m","T3",3.7826,3.1418,4.681
"CoralNet","indo_v1_w_bio","PB","Yeye","10m","T1",3.5516,2.8986,4.2982
"CoralNet","indo_v1_w_bio","PB","Yeye","10m","T2",1.6013,1.2868,1.9562
"CoralNet","indo_v1_w_bio","PB","Yeye","10m","T3",2.966,2.4501,3.53
"CoralNet","indo_v1_w_bio","SA","AngMid","10m","T1",11.9052,10.0062,15.4196
"CoralNet","indo_v1_w_bio","SA","AngMid","10m","T2",6.0737,4.9014,7.7861
"CoralNet","indo_v1_w_bio","SA","AngMid","10m","T3",3.9214,3.2386,5.0088
"CoralNet","indo_v1_w_bio","SA","AngSTip","10m","T1",6.507,5.5202,8.1264
"CoralNet","indo_v1_w_bio","SA","AngSTip","10m","T2",13.5493,11.5036,17.5962
"CoralNet","indo_v1_w_bio","SA","AngSTip","10m","T3",7.2026,6.1177,9.1721
"CoralNet","indo_v1_w_bio","SA","Passe","10m","T1",2.5675,2.1739,3.0096
"CoralNet","indo_v1_w_bio","SA","Passe","10m","T2",3.1221,2.6993,3.6535
"CoralNet","indo_v1_w_bio","SA","Passe","10m","T3",2.1138,1.7337,2.5405
"CoralNet","indo_v1_w_bio","SA","Takamaka","10m","T1",3.0375,2.4861,3.8505
"CoralNet","indo_v1_w_bio","SA","Takamaka","10m","T2",2.3331,1.7812,2.9409
"CoralNet","indo_v1_w_bio","SA","Takamaka","10m","T3",3.3415,2.653,4.2148
"CoralNet","indo_v1_wo_bio","EG","Lubine","10m","T1",5.97,5.2788,6.77
"CoralNet","indo_v1_wo_bio","EG","Lubine","10m","T2",3.4759,3.0242,3.9544
"CoralNet","indo_v1_wo_bio","EG","Lubine","10m","T3",6.2562,5.5765,6.9627
"CoralNet","indo_v1_wo_bio","EG","Middle","10m","T1",8.3691,6.5893,10.3204
"CoralNet","indo_v1_wo_bio","EG","Middle","10m","T2",2.7963,2.3645,3.2709
"CoralNet","indo_v1_wo_bio","EG","Middle","10m","T3",6.5278,5.3113,7.9328
"CoralNet","indo_v1_wo_bio","EG","North","10m","T1",7.9562,6.5608,10.2192
"CoralNet","indo_v1_wo_bio","EG","North","10m","T2",11.4775,8.9544,14.8299
"CoralNet","indo_v1_wo_bio","EG","North","10m","T3",6.014,4.7898,7.363
"CoralNet","indo_v1_wo_bio","EG","Tattamucca","10m","T1",3.6831,3.0021,4.4234
"CoralNet","indo_v1_wo_bio","EG","Tattamucca","10m","T2",4.0586,3.1763,5.0613
"CoralNet","indo_v1_wo_bio","EG","Tattamucca","10m","T3",6.7017,4.9579,8.6647
"CoralNet","indo_v1_wo_bio","GCB","MidBroCh","10m","T1",1.3393,1.0982,1.678
"CoralNet","indo_v1_wo_bio","GCB","MidBroCh","10m","T2",0.946,0.6923,1.2286
"CoralNet","indo_v1_wo_bio","GCB","MidBroCh","10m","T3",0.7578,0.6353,0.8924
"CoralNet","indo_v1_wo_bio","GCB","MidBroDr","10m","T1",2.5801,2.2479,2.9373
"CoralNet","indo_v1_wo_bio","GCB","MidBroDr","10m","T2",0.6141,0.5238,0.7213
"CoralNet","indo_v1_wo_bio","GCB","MidBroDr","10m","T3",2.4199,2.1241,2.7459
"CoralNet","indo_v1_wo_bio","GCB","NorthBro","10m","T1",0.5141,0.4306,0.6414
"CoralNet","indo_v1_wo_bio","GCB","NorthBro","10m","T2",0.7413,0.618,0.875
"CoralNet","indo_v1_wo_bio","GCB","NorthBro","10m","T3",1.3542,1.1737,1.5515
"CoralNet","indo_v1_wo_bio","GCB","SouthBro","10m","T1",2.4145,2.0671,2.8038
"CoralNet","indo_v1_wo_bio","GCB","SouthBro","10m","T2",3.2313,2.8542,3.6338
"CoralNet","indo_v1_wo_bio","GCB","SouthBro","10m","T3",4.1155,3.5521,4.7168
"CoralNet","indo_v1_wo_bio","PB","Diamant","10m","T1",5.4131,4.6369,6.2947
"CoralNet","indo_v1_wo_bio","PB","Diamant","10m","T2",3.4719,3.0452,3.9379
"CoralNet","indo_v1_wo_bio","PB","Diamant","10m","T3",7.0483,5.5243,8.8023
"CoralNet","indo_v1_wo_bio","PB","Poule","10m","T1",2.7091,2.2964,3.1956
"CoralNet","indo_v1_wo_bio","PB","Poule","10m","T2",2.7715,2.3496,3.2669
"CoralNet","indo_v1_wo_bio","PB","Poule","10m","T3",4.9435,4.2985,5.6471
"CoralNet","indo_v1_wo_bio","PB","PtiCoq","10m","T1",3.0647,2.7042,3.4475
"CoralNet","indo_v1_wo_bio","PB","PtiCoq","10m","T2",2.9682,2.4263,3.6279
"CoralNet","indo_v1_wo_bio","PB","PtiCoq","10m","T3",3.7973,3.1714,4.6948
"CoralNet","indo_v1_wo_bio","PB","Yeye","10m","T1",3.6031,2.9527,4.3521
"CoralNet","indo_v1_wo_bio","PB","Yeye","10m","T2",1.6439,1.3277,1.9973
"CoralNet","indo_v1_wo_bio","PB","Yeye","10m","T3",3.0121,2.4957,3.5756
"CoralNet","indo_v1_wo_bio","SA","AngMid","10m","T1",12.0444,10.1437,15.6672
"CoralNet","indo_v1_wo_bio","SA","AngMid","10m","T2",6.1279,4.9725,7.8689
"CoralNet","indo_v1_wo_bio","SA","AngMid","10m","T3",3.9378,3.2736,5.0312
"CoralNet","indo_v1_wo_bio","SA","AngSTip","10m","T1",6.562,5.5836,8.2032
"CoralNet","indo_v1_wo_bio","SA","AngSTip","10m","T2",13.7337,11.6691,17.9244
"CoralNet","indo_v1_wo_bio","SA","AngSTip","10m","T3",7.2965,6.2084,9.3127
"CoralNet","indo_v1_wo_bio","SA","Passe","10m","T1",2.5914,2.205,3.016
"CoralNet","indo_v1_wo_bio","SA","Passe","10m","T2",3.1343,2.7205,3.651
"CoralNet","indo_v1_wo_bio","SA","Passe","10m","T3",2.1087,1.7489,2.5075
"CoralNet","indo_v1_wo_bio","SA","Takamaka","10m","T1",3.064,2.527,3.8783
"CoralNet","indo_v1_wo_bio","SA","Takamaka","10m","T2",2.3485,1.8169,2.9436
"CoralNet","indo_v1_wo_bio","SA","Takamaka","10m","T3",3.4161,2.7326,4.2921
"CoralNet","indo_v2_w_bio","EG","Lubine","10m","T1",7.4402,6.0488,8.8898
"CoralNet","indo_v2_w_bio","EG","Lubine","10m","T2",4.8315,3.9068,5.8122
"CoralNet","indo_v2_w_bio","EG","Lubine","10m","T3",7.7879,6.3489,9.2758
"CoralNet","indo_v2_w_bio","EG","Middle","10m","T1",15.1161,12.022,18.6015
"CoralNet","indo_v2_w_bio","EG","Middle","10m","T2",3.7341,3.0164,4.5249
"CoralNet","indo_v2_w_bio","EG","Middle","10m","T3",9.8722,7.9099,12.0747
"CoralNet","indo_v2_w_bio","EG","North","10m","T1",9.4272,7.5454,11.5779
"CoralNet","indo_v2_w_bio","EG","North","10m","T2",18.9638,15.0416,23.4543
"CoralNet","indo_v2_w_bio","EG","North","10m","T3",9.9559,7.9458,12.23
"CoralNet","indo_v2_w_bio","EG","Tattamucca","10m","T1",6.1528,4.9164,7.5217
"CoralNet","indo_v2_w_bio","EG","Tattamucca","10m","T2",7.2372,5.7532,8.9173
"CoralNet","indo_v2_w_bio","EG","Tattamucca","10m","T3",13.7599,10.8673,17.0816
"CoralNet","indo_v2_w_bio","GCB","MidBroCh","10m","T1",1.8317,1.4634,2.246
"CoralNet","indo_v2_w_bio","GCB","MidBroCh","10m","T2",2.0166,1.5907,2.5009
"CoralNet","indo_v2_w_bio","GCB","MidBroCh","10m","T3",1.084,0.8725,1.315
"CoralNet","indo_v2_w_bio","GCB","MidBroDr","10m","T1",3.1536,2.5691,3.7719
"CoralNet","indo_v2_w_bio","GCB","MidBroDr","10m","T2",0.6198,0.5041,0.7534
"CoralNet","indo_v2_w_bio","GCB","MidBroDr","10m","T3",2.6054,2.1345,3.1125
"CoralNet","indo_v2_w_bio","GCB","NorthBro","10m","T1",0.6447,0.5171,0.7871
"CoralNet","indo_v2_w_bio","GCB","NorthBro","10m","T2",1.1018,0.8857,1.3395
"CoralNet","indo_v2_w_bio","GCB","NorthBro","10m","T3",1.542,1.2589,1.8495
"CoralNet","indo_v2_w_bio","GCB","SouthBro","10m","T1",2.6579,2.168,3.2037
"CoralNet","indo_v2_w_bio","GCB","SouthBro","10m","T2",3.6574,2.9953,4.3529
"CoralNet","indo_v2_w_bio","GCB","SouthBro","10m","T3",5.5564,4.4991,6.6875
"CoralNet","indo_v2_w_bio","PB","Diamant","10m","T1",7.102,5.7432,8.5755
"CoralNet","indo_v2_w_bio","PB","Diamant","10m","T2",4.0703,3.3243,4.869
"CoralNet","indo_v2_w_bio","PB","Diamant","10m","T3",11.859,9.4437,14.611
"CoralNet","indo_v2_w_bio","PB","Poule","10m","T1",3.7258,3.0064,4.5152
"CoralNet","indo_v2_w_bio","PB","Poule","10m","T2",3.7647,3.036,4.5562
"CoralNet","indo_v2_w_bio","PB","Poule","10m","T3",5.6856,4.6407,6.8145
"CoralNet","indo_v2_w_bio","PB","PtiCoq","10m","T1",3.5426,2.8978,4.222
"CoralNet","indo_v2_w_bio","PB","PtiCoq","10m","T2",4.6654,3.7284,5.7031
"CoralNet","indo_v2_w_bio","PB","PtiCoq","10m","T3",4.906,3.9437,5.9682
"CoralNet","indo_v2_w_bio","PB","Yeye","10m","T1",5.4932,4.4101,6.6823
"CoralNet","indo_v2_w_bio","PB","Yeye","10m","T2",2.6746,2.1354,3.2669
"CoralNet","indo_v2_w_bio","PB","Yeye","10m","T3",4.6633,3.7411,5.6663
"CoralNet","indo_v2_w_bio","SA","AngMid","10m","T1",12.0462,9.6795,14.7282
"CoralNet","indo_v2_w_bio","SA","AngMid","10m","T2",8.4087,6.7016,10.3463
"CoralNet","indo_v2_w_bio","SA","AngMid","10m","T3",4.5315,3.64,5.546
"CoralNet","indo_v2_w_bio","SA","AngSTip","10m","T1",7.1996,5.8032,8.7497
"CoralNet","indo_v2_w_bio","SA","AngSTip","10m","T2",12.5306,10.0978,15.2796
"CoralNet","indo_v2_w_bio","SA","AngSTip","10m","T3",7.3352,5.9123,8.9187
"CoralNet","indo_v2_w_bio","SA","Passe","10m","T1",3.5675,2.8779,4.3146
"CoralNet","indo_v2_w_bio","SA","Passe","10m","T2",3.8254,3.103,4.5997
"CoralNet","indo_v2_w_bio","SA","Passe","10m","T3",3.1875,2.556,3.878
"CoralNet","indo_v2_w_bio","SA","Takamaka","10m","T1",3.6485,2.9254,4.4753
"CoralNet","indo_v2_w_bio","SA","Takamaka","10m","T2",4.1459,3.2918,5.1135
"CoralNet","indo_v2_w_bio","SA","Takamaka","10m","T3",5.1837,4.128,6.3727
"CoralNet","indo_v2_wo_bio","EG","Lubine","10m","T1",7.7385,6.2939,9.2199
"CoralNet","indo_v2_wo_bio","EG","Lubine","10m","T2",5.0201,4.0596,6.0172
"CoralNet","indo_v2_wo_bio","EG","Lubine","10m","T3",8.0756,6.5825,9.5938
"CoralNet","indo_v2_wo_bio","EG","Middle","10m","T1",15.7542,12.5476,19.2687
"CoralNet","indo_v2_wo_bio","EG","Middle","10m","T2",3.9251,3.1772,4.7302
"CoralNet","indo_v2_wo_bio","EG","Middle","10m","T3",10.3118,8.279,12.5404
"CoralNet","indo_v2_wo_bio","EG","North","10m","T1",9.9081,7.9539,12.0971
"CoralNet","indo_v2_wo_bio","EG","North","10m","T2",19.7699,15.7111,24.2986
"CoralNet","indo_v2_wo_bio","EG","North","10m","T3",10.4114,8.3264,12.7084
"CoralNet","indo_v2_wo_bio","EG","Tattamucca","10m","T1",6.4057,5.124,7.7893
"CoralNet","indo_v2_wo_bio","EG","Tattamucca","10m","T2",7.5342,5.9985,9.2271
"CoralNet","indo_v2_wo_bio","EG","Tattamucca","10m","T3",14.3441,11.35,17.6844
"CoralNet","indo_v2_wo_bio","GCB","MidBroCh","10m","T1",1.9264,1.5434,2.3474
"CoralNet","indo_v2_wo_bio","GCB","MidBroCh","10m","T2",2.1143,1.6731,2.6036
"CoralNet","indo_v2_wo_bio","GCB","MidBroCh","10m","T3",1.1389,0.9191,1.3743
"CoralNet","indo_v2_wo_bio","GCB","MidBroDr","10m","T1",3.2992,2.6931,3.9322
"CoralNet","indo_v2_wo_bio","GCB","MidBroDr","10m","T2",0.6871,0.5623,0.8258
"CoralNet","indo_v2_wo_bio","GCB","MidBroDr","10m","T3",2.7629,2.2691,3.2846
"CoralNet","indo_v2_wo_bio","GCB","NorthBro","10m","T1",0.6741,0.5417,0.8189
"CoralNet","indo_v2_wo_bio","GCB","NorthBro","10m","T2",1.1485,0.9246,1.3894
"CoralNet","indo_v2_wo_bio","GCB","NorthBro","10m","T3",1.6239,1.3291,1.9382
"CoralNet","indo_v2_wo_bio","GCB","SouthBro","10m","T1",2.8348,2.321,3.3946
"CoralNet","indo_v2_wo_bio","GCB","SouthBro","10m","T2",3.8229,3.1358,4.5351
"CoralNet","indo_v2_wo_bio","GCB","SouthBro","10m","T3",5.7813,4.6853,6.9315
"CoralNet","indo_v2_wo_bio","PB","Diamant","10m","T1",7.4482,6.0334,8.9505
"CoralNet","indo_v2_wo_bio","PB","Diamant","10m","T2",4.2866,3.5064,5.1051
"CoralNet","indo_v2_wo_bio","PB","Diamant","10m","T3",12.3966,9.8953,15.1746
"CoralNet","indo_v2_wo_bio","PB","Poule","10m","T1",3.8999,3.1507,4.7018
"CoralNet","indo_v2_wo_bio","PB","Poule","10m","T2",3.9432,3.1864,4.7496
"CoralNet","indo_v2_wo_bio","PB","Poule","10m","T3",5.9843,4.8953,7.1396
"CoralNet","indo_v2_wo_bio","PB","PtiCoq","10m","T1",3.6941,3.0253,4.388
"CoralNet","indo_v2_wo_bio","PB","PtiCoq","10m","T2",4.8522,3.8829,5.9021
"CoralNet","indo_v2_wo_bio","PB","PtiCoq","10m","T3",5.1278,4.133,6.2102
"CoralNet","indo_v2_wo_bio","PB","Yeye","10m","T1",5.7504,4.6302,6.96
"CoralNet","indo_v2_wo_bio","PB","Yeye","10m","T2",2.8307,2.2696,3.4359
"CoralNet","indo_v2_wo_bio","PB","Yeye","10m","T3",4.8807,3.9252,5.9012
"CoralNet","indo_v2_wo_bio","SA","AngMid","10m","T1",12.5823,10.1374,15.3217
"CoralNet","indo_v2_wo_bio","SA","AngMid","10m","T2",8.803,7.0329,10.7691
"CoralNet","indo_v2_wo_bio","SA","AngMid","10m","T3",4.7583,3.8328,5.7921
"CoralNet","indo_v2_wo_bio","SA","AngSTip","10m","T1",7.5288,6.0807,9.1114
"CoralNet","indo_v2_wo_bio","SA","AngSTip","10m","T2",13.0789,10.5697,15.8953
"CoralNet","indo_v2_wo_bio","SA","AngSTip","10m","T3",7.685,6.2122,9.3083
"CoralNet","indo_v2_wo_bio","SA","Passe","10m","T1",3.7564,3.0371,4.5195
"CoralNet","indo_v2_wo_bio","SA","Passe","10m","T2",3.9961,3.2453,4.7862
"CoralNet","indo_v2_wo_bio","SA","Passe","10m","T3",3.3627,2.7046,4.0673
"CoralNet","indo_v2_wo_bio","SA","Takamaka","10m","T1",3.8569,3.1037,4.6993
"CoralNet","indo_v2_wo_bio","SA","Takamaka","10m","T2",4.376,3.488,5.3565
"CoralNet","indo_v2_wo_bio","SA","Takamaka","10m","T3",5.4972,4.3964,6.7088
